Nome TFC;Entrada GC;Entrada QC;Saida GC;Saida QC;Delta GC;Delta QC;Metodo
./tfcs/edinelco/s2/S2-2quali.tfc;6;27;6;27;0;0;antigo-novo
./tfcs/edinelco/s2/S2-2quali.tfc;6;27;6;27;0;0;novo-antigo
./tfcs/edinelco/s2/S2-2quali.tfc;6;27;6;27;0;0;novo-antigo-novo
./tfcs/edinelco/s2/S2-2quali.tfc;6;27;6;27;0;0;antigo-novo-antigo
./tfcs/edinelco/s2/S2-2quali_inv.tfc;7;29;7;29;0;0;antigo-novo
./tfcs/edinelco/s2/S2-2quali_inv.tfc;7;29;7;29;0;0;novo-antigo
./tfcs/edinelco/s2/S2-2quali_inv.tfc;7;29;7;29;0;0;novo-antigo-novo
./tfcs/edinelco/s2/S2-2quali_inv.tfc;7;29;7;29;0;0;antigo-novo-antigo
./tfcs/edinelco/s2/S2-2quali_inv_inv.tfc;6;27;6;27;0;0;antigo-novo
./tfcs/edinelco/s2/S2-2quali_inv_inv.tfc;6;27;6;27;0;0;novo-antigo
./tfcs/edinelco/s2/S2-2quali_inv_inv.tfc;6;27;6;27;0;0;novo-antigo-novo
./tfcs/edinelco/s2/S2-2quali_inv_inv.tfc;6;27;6;27;0;0;antigo-novo-antigo
./tfcs/edinelco/s2/S2-3_17.tfc;6;24;5;22;1;2;antigo-novo
./tfcs/edinelco/s2/S2-3_17.tfc;6;24;5;22;1;2;novo-antigo
./tfcs/edinelco/s2/S2-3_17.tfc;6;24;5;22;1;2;novo-antigo-novo
./tfcs/edinelco/s2/S2-3_17.tfc;6;24;5;22;1;2;antigo-novo-antigo
./tfcs/edinelco/s2/S2-3_17_inv.tfc;6;24;5;22;1;2;antigo-novo
./tfcs/edinelco/s2/S2-3_17_inv.tfc;6;24;5;22;1;2;novo-antigo
./tfcs/edinelco/s2/S2-3_17_inv.tfc;6;24;5;22;1;2;novo-antigo-novo
./tfcs/edinelco/s2/S2-3_17_inv.tfc;6;24;5;22;1;2;antigo-novo-antigo
./tfcs/edinelco/s2/S2-4_49.tfc;14;129;13;106;1;23;antigo-novo
./tfcs/edinelco/s2/S2-4_49.tfc;14;129;12;105;2;24;novo-antigo
./tfcs/edinelco/s2/S2-4_49.tfc;14;129;13;106;1;23;novo-antigo-novo
./tfcs/edinelco/s2/S2-4_49.tfc;14;129;12;105;2;24;antigo-novo-antigo
./tfcs/edinelco/s2/S2-4_49_inv.tfc;13;106;14;107;-1;-1;antigo-novo
./tfcs/edinelco/s2/S2-4_49_inv.tfc;13;106;13;106;0;0;novo-antigo
./tfcs/edinelco/s2/S2-4_49_inv.tfc;13;106;14;107;-1;-1;novo-antigo-novo
./tfcs/edinelco/s2/S2-4_49_inv.tfc;13;106;13;106;0;0;antigo-novo-antigo
./tfcs/edinelco/s2/S2-4b15g_1.tfc;19;178;19;157;0;21;antigo-novo
./tfcs/edinelco/s2/S2-4b15g_1.tfc;19;178;19;161;0;17;novo-antigo
./tfcs/edinelco/s2/S2-4b15g_1.tfc;19;178;19;157;0;21;novo-antigo-novo
./tfcs/edinelco/s2/S2-4b15g_1.tfc;19;178;19;157;0;21;antigo-novo-antigo
./tfcs/edinelco/s2/S2-4b15g_1_inv.tfc;18;155;18;155;0;0;antigo-novo
./tfcs/edinelco/s2/S2-4b15g_1_inv.tfc;18;155;18;155;0;0;novo-antigo
./tfcs/edinelco/s2/S2-4b15g_1_inv.tfc;18;155;18;155;0;0;novo-antigo-novo
./tfcs/edinelco/s2/S2-4b15g_1_inv.tfc;18;155;18;155;0;0;antigo-novo-antigo
./tfcs/edinelco/s2/S2-4b15g_2.tfc;22;220;22;220;0;0;antigo-novo
./tfcs/edinelco/s2/S2-4b15g_2.tfc;22;220;22;220;0;0;novo-antigo
./tfcs/edinelco/s2/S2-4b15g_2.tfc;22;220;22;220;0;0;novo-antigo-novo
./tfcs/edinelco/s2/S2-4b15g_2.tfc;22;220;22;220;0;0;antigo-novo-antigo
./tfcs/edinelco/s2/S2-4b15g_2_inv.tfc;24;244;27;252;-3;-8;antigo-novo
./tfcs/edinelco/s2/S2-4b15g_2_inv.tfc;24;244;27;252;-3;-8;novo-antigo
./tfcs/edinelco/s2/S2-4b15g_2_inv.tfc;24;244;27;252;-3;-8;novo-antigo-novo
./tfcs/edinelco/s2/S2-4b15g_2_inv.tfc;24;244;27;252;-3;-8;antigo-novo-antigo
./tfcs/edinelco/s2/S2-4b15g_3.tfc;18;166;18;166;0;0;antigo-novo
./tfcs/edinelco/s2/S2-4b15g_3.tfc;18;166;18;166;0;0;novo-antigo
./tfcs/edinelco/s2/S2-4b15g_3.tfc;18;166;18;166;0;0;novo-antigo-novo
./tfcs/edinelco/s2/S2-4b15g_3.tfc;18;166;18;166;0;0;antigo-novo-antigo
./tfcs/edinelco/s2/S2-4b15g_3_inv.tfc;21;219;21;219;0;0;antigo-novo
./tfcs/edinelco/s2/S2-4b15g_3_inv.tfc;21;219;21;219;0;0;novo-antigo
./tfcs/edinelco/s2/S2-4b15g_3_inv.tfc;21;219;21;219;0;0;novo-antigo-novo
./tfcs/edinelco/s2/S2-4b15g_3_inv.tfc;21;219;21;219;0;0;antigo-novo-antigo
./tfcs/edinelco/s2/S2-4b15g_4.tfc;23;263;23;247;0;16;antigo-novo
./tfcs/edinelco/s2/S2-4b15g_4.tfc;23;263;23;263;0;0;novo-antigo
