Nome TFC,Entrada GC,Entrada QC,Saida GC,Saida QC,Delta GC,Delta QC,Metodo
./tfcs/revlib/n_10-14/portas_0-1000/9symml_195.tfc,-,-,-,-,-,-,antigo-novo
./tfcs/revlib/n_10-14/portas_0-1000/9symml_195.tfc,-,-,-,-,-,-,antigo-novo-antigo
./tfcs/revlib/n_10-14/portas_0-1000/9symml_195.tfc,-,-,-,-,-,-,novo-antigo
./tfcs/revlib/n_10-14/portas_0-1000/9symml_195.tfc,-,-,-,-,-,-,novo-antigo-novo
./tfcs/revlib/n_10-14/portas_0-1000/clip_206.tfc,174,26098,153,47981,21,-21883,antigo-novo
./tfcs/revlib/n_10-14/portas_0-1000/clip_206.tfc,-,-,-,-,-,-,antigo-novo-antigo
./tfcs/revlib/n_10-14/portas_0-1000/clip_206.tfc,174,26098,118,30860,56,-4762,novo-antigo
./tfcs/revlib/n_10-14/portas_0-1000/clip_206.tfc,174,26098,148,43140,26,-17042,novo-antigo-novo
./tfcs/revlib/n_10-14/portas_0-1000/dc2_222.tfc,-,-,-,-,-,-,antigo-novo
./tfcs/revlib/n_10-14/portas_0-1000/dc2_222.tfc,-,-,-,-,-,-,antigo-novo-antigo
./tfcs/revlib/n_10-14/portas_0-1000/dc2_222.tfc,-,-,-,-,-,-,novo-antigo
./tfcs/revlib/n_10-14/portas_0-1000/dc2_222.tfc,-,-,-,-,-,-,novo-antigo-novo
./tfcs/revlib/n_10-14/portas_0-1000/life_238.tfc,-,-,-,-,-,-,antigo-novo
./tfcs/revlib/n_10-14/portas_0-1000/life_238.tfc,-,-,-,-,-,-,antigo-novo-antigo
./tfcs/revlib/n_10-14/portas_0-1000/life_238.tfc,-,-,-,-,-,-,novo-antigo
./tfcs/revlib/n_10-14/portas_0-1000/life_238.tfc,-,-,-,-,-,-,novo-antigo-novo
./tfcs/revlib/n_10-14/portas_0-1000/max46_240.tfc,-,-,-,-,-,-,antigo-novo
./tfcs/revlib/n_10-14/portas_0-1000/max46_240.tfc,-,-,-,-,-,-,antigo-novo-antigo
./tfcs/revlib/n_10-14/portas_0-1000/max46_240.tfc,-,-,-,-,-,-,novo-antigo
./tfcs/revlib/n_10-14/portas_0-1000/max46_240.tfc,-,-,-,-,-,-,novo-antigo-novo
./tfcs/revlib/n_10-14/portas_0-1000/mini_alu_305.tfc,20,60,17,70,3,-10,antigo-novo
./tfcs/revlib/n_10-14/portas_0-1000/mini_alu_305.tfc,20,60,15,58,5,2,antigo-novo-antigo
./tfcs/revlib/n_10-14/portas_0-1000/mini_alu_305.tfc,20,60,15,62,5,-2,novo-antigo
./tfcs/revlib/n_10-14/portas_0-1000/mini_alu_305.tfc,20,60,18,95,2,-35,novo-antigo-novo
./tfcs/revlib/n_10-14/portas_0-1000/misex1_241.tfc,-,-,-,-,-,-,antigo-novo
./tfcs/revlib/n_10-14/portas_0-1000/misex1_241.tfc,-,-,-,-,-,-,antigo-novo-antigo
./tfcs/revlib/n_10-14/portas_0-1000/misex1_241.tfc,-,-,-,-,-,-,novo-antigo
./tfcs/revlib/n_10-14/portas_0-1000/misex1_241.tfc,-,-,-,-,-,-,novo-antigo-novo
./tfcs/revlib/n_10-14/portas_0-1000/radd_250.tfc,48,884,55,3094,-7,-2210,antigo-novo
./tfcs/revlib/n_10-14/portas_0-1000/radd_250.tfc,48,884,51,2906,-3,-2022,antigo-novo-antigo
./tfcs/revlib/n_10-14/portas_0-1000/radd_250.tfc,48,884,47,1521,1,-637,novo-antigo
./tfcs/revlib/n_10-14/portas_0-1000/radd_250.tfc,48,884,56,3162,-8,-2278,novo-antigo-novo
./tfcs/revlib/n_10-14/portas_0-1000/rd73_140.tfc,20,76,20,76,0,0,antigo-novo
./tfcs/revlib/n_10-14/portas_0-1000/rd73_140.tfc,20,76,20,76,0,0,antigo-novo-antigo
./tfcs/revlib/n_10-14/portas_0-1000/rd73_140.tfc,20,76,20,76,0,0,novo-antigo
./tfcs/revlib/n_10-14/portas_0-1000/rd73_140.tfc,20,76,20,76,0,0,novo-antigo-novo
./tfcs/revlib/n_10-14/portas_0-1000/rd73_252.tfc,80,1628,88,4495,-8,-2867,antigo-novo
./tfcs/revlib/n_10-14/portas_0-1000/rd73_252.tfc,80,1628,80,3680,0,-2052,antigo-novo-antigo
./tfcs/revlib/n_10-14/portas_0-1000/rd73_252.tfc,-,-,-,-,-,-,novo-antigo
./tfcs/revlib/n_10-14/portas_0-1000/rd73_252.tfc,-,-,-,-,-,-,novo-antigo-novo
./tfcs/revlib/n_10-14/portas_0-1000/sqn_258.tfc,-,-,-,-,-,-,antigo-novo
./tfcs/revlib/n_10-14/portas_0-1000/sqn_258.tfc,-,-,-,-,-,-,antigo-novo-antigo
./tfcs/revlib/n_10-14/portas_0-1000/sqn_258.tfc,76,3168,53,3767,23,-599,novo-antigo
./tfcs/revlib/n_10-14/portas_0-1000/sqn_258.tfc,76,3168,61,5087,15,-1919,novo-antigo-novo
