Nome TFC,Qtd. Portas,Qtd. Subcircuitos,Tamanho Médio das Janelas,Maior Janela,Menor Janela
./temporarios/tfcs_reais/edinelco/s1/S1-2quali_inv_inv.tfc,8,7,1.1428571428571428,2,1
./temporarios/tfcs_reais/edinelco/s1/S1-2quali_inv.tfc,7,6,1.1666666666666667,2,1
./temporarios/tfcs_reais/edinelco/s1/S1-2quali.tfc,8,7,1.1428571428571428,2,1
./temporarios/tfcs_reais/edinelco/s1/S1-3_17_inv.tfc,9,6,1.5,3,1
./temporarios/tfcs_reais/edinelco/s1/S1-3_17.tfc,6,5,1.2,2,1
./temporarios/tfcs_reais/edinelco/s1/S1-4_49_inv.tfc,16,15,1.0666666666666667,2,1
./temporarios/tfcs_reais/edinelco/s1/S1-4_49.tfc,18,17,1.0588235294117647,2,1
./temporarios/tfcs_reais/edinelco/s1/S1-4b15g_1_inv.tfc,22,22,1.0,1,1
./temporarios/tfcs_reais/edinelco/s1/S1-4b15g_1.tfc,19,18,1.0555555555555556,2,1
./temporarios/tfcs_reais/edinelco/s1/S1-4b15g_2_inv.tfc,23,23,1.0,1,1
./temporarios/tfcs_reais/edinelco/s1/S1-4b15g_2.tfc,17,17,1.0,1,1
./temporarios/tfcs_reais/edinelco/s1/S1-4b15g_3_inv.tfc,17,17,1.0,1,1
./temporarios/tfcs_reais/edinelco/s1/S1-4b15g_3.tfc,23,23,1.0,1,1
./temporarios/tfcs_reais/edinelco/s1/S1-4b15g_4_inv.tfc,19,17,1.1176470588235294,2,1
./temporarios/tfcs_reais/edinelco/s1/S1-4b15g_4.tfc,19,18,1.0555555555555556,2,1
./temporarios/tfcs_reais/edinelco/s1/S1-4b15g_5_inv.tfc,25,22,1.1363636363636365,3,1
./temporarios/tfcs_reais/edinelco/s1/S1-4b15g_5.tfc,25,23,1.0869565217391304,2,1
./temporarios/tfcs_reais/edinelco/s1/S1-aj-e11_complete_74(81)_inv.tfc,9,8,1.125,2,1
./temporarios/tfcs_reais/edinelco/s1/S1-aj-e11_complete_74(81).tfc,9,8,1.125,2,1
./temporarios/tfcs_reais/edinelco/s1/S1-CGWZ_inv.tfc,7,7,1.0,1,1
./temporarios/tfcs_reais/edinelco/s1/S1-CGWZ.tfc,7,6,1.1666666666666667,2,1
./temporarios/tfcs_reais/edinelco/s1/S1-DKMFR_inv.tfc,8,8,1.0,1,1
./temporarios/tfcs_reais/edinelco/s1/S1-DKMFR.tfc,8,8,1.0,1,1
./temporarios/tfcs_reais/edinelco/s1/S1-ED19_inv_inv.tfc,7,6,1.1666666666666667,2,1
./temporarios/tfcs_reais/edinelco/s1/S1-ED19_inv.tfc,5,5,1.0,1,1
./temporarios/tfcs_reais/edinelco/s1/S1-ED19.tfc,7,6,1.1666666666666667,2,1
./temporarios/tfcs_reais/edinelco/s1/S1-ex-1_82_inv.tfc,4,4,1.0,1,1
./temporarios/tfcs_reais/edinelco/s1/S1-ex-1_82.tfc,4,4,1.0,1,1
./temporarios/tfcs_reais/edinelco/s1/S1-ex1Miller.tfc,3,3,1.0,1,1
./temporarios/tfcs_reais/edinelco/s1/S1-ex2Miller.tfc,5,5,1.0,1,1
./temporarios/tfcs_reais/edinelco/s1/S1-ex3Miller.tfc,7,7,1.0,1,1
./temporarios/tfcs_reais/edinelco/s1/S1-ex4Miller_inv.tfc,3,3,1.0,1,1
./temporarios/tfcs_reais/edinelco/s1/S1-ex4Miller.tfc,3,3,1.0,1,1
./temporarios/tfcs_reais/edinelco/s1/S1-ex5Miller_inv.tfc,4,4,1.0,1,1
./temporarios/tfcs_reais/edinelco/s1/S1-ex5Miller.tfc,4,4,1.0,1,1
./temporarios/tfcs_reais/edinelco/s1/S1-ex6Miller_inv.tfc,16,13,1.2307692307692308,2,1
./temporarios/tfcs_reais/edinelco/s1/S1-ex6Miller.tfc,21,19,1.105263157894737,2,1
./temporarios/tfcs_reais/edinelco/s1/S1-ex7Miller_inv.tfc,21,19,1.105263157894737,2,1
./temporarios/tfcs_reais/edinelco/s1/S1-ex7Miller.tfc,16,13,1.2307692307692308,2,1
./temporarios/tfcs_reais/edinelco/s1/S1-graycode6_complete_19_inv.tfc,5,5,1.0,1,1
./temporarios/tfcs_reais/edinelco/s1/S1-graycode6_complete_19.tfc,5,5,1.0,1,1
./temporarios/tfcs_reais/edinelco/s1/S1-Gupta0_inv.tfc,3,3,1.0,1,1
./temporarios/tfcs_reais/edinelco/s1/S1-Gupta0.tfc,3,3,1.0,1,1
./temporarios/tfcs_reais/edinelco/s1/S1-Gupta1_inv.tfc,3,3,1.0,1,1
./temporarios/tfcs_reais/edinelco/s1/S1-Gupta1.tfc,3,3,1.0,1,1
