Nome TFC,Entrada GC,Entrada QC,Saida GC,Saida QC,Delta GC,Delta QC,Metodo
./tfcs/edinelco/s1/S1-2quali.tfc,8,38,8,37,0,1,antigo
./tfcs/edinelco/s1/S1-2quali.tfc,8,38,8,38,0,0,novo
./tfcs/edinelco/s1/S1-2quali.tfc,8,38,8,37,0,1,antigo-novo
./tfcs/edinelco/s1/S1-2quali.tfc,8,38,8,38,0,0,novo-antigo
./tfcs/edinelco/s1/S1-2quali_inv.tfc,7,29,7,28,0,1,antigo
./tfcs/edinelco/s1/S1-2quali_inv.tfc,7,29,7,29,0,0,novo
./tfcs/edinelco/s1/S1-2quali_inv.tfc,7,29,7,29,0,0,antigo-novo
./tfcs/edinelco/s1/S1-2quali_inv.tfc,7,29,7,29,0,0,novo-antigo
./tfcs/edinelco/s1/S1-2quali_inv_inv.tfc,8,38,8,37,0,1,antigo
./tfcs/edinelco/s1/S1-2quali_inv_inv.tfc,8,38,8,38,0,0,novo
./tfcs/edinelco/s1/S1-2quali_inv_inv.tfc,8,38,8,37,0,1,antigo-novo
./tfcs/edinelco/s1/S1-2quali_inv_inv.tfc,8,38,8,38,0,0,novo-antigo
./tfcs/edinelco/s1/S1-3_17.tfc,6,26,5,22,1,4,antigo
./tfcs/edinelco/s1/S1-3_17.tfc,6,26,5,22,1,4,novo
./tfcs/edinelco/s1/S1-3_17.tfc,6,26,5,22,1,4,antigo-novo
./tfcs/edinelco/s1/S1-3_17.tfc,6,26,5,22,1,4,novo-antigo
./tfcs/edinelco/s1/S1-3_17_inv.tfc,9,46,8,37,1,9,antigo
./tfcs/edinelco/s1/S1-3_17_inv.tfc,9,46,8,38,1,8,novo
./tfcs/edinelco/s1/S1-3_17_inv.tfc,9,46,8,37,1,9,antigo-novo
./tfcs/edinelco/s1/S1-3_17_inv.tfc,9,46,8,38,1,8,novo-antigo
./tfcs/edinelco/s1/S1-4_49.tfc,18,198,18,198,0,0,antigo
./tfcs/edinelco/s1/S1-4_49.tfc,18,198,20,192,-2,6,novo
./tfcs/edinelco/s1/S1-4_49.tfc,18,198,20,192,-2,6,antigo-novo
./tfcs/edinelco/s1/S1-4_49.tfc,18,198,18,182,0,16,novo-antigo
./tfcs/edinelco/s1/S1-4_49_inv.tfc,16,159,16,159,0,0,antigo
./tfcs/edinelco/s1/S1-4_49_inv.tfc,16,159,16,159,0,0,novo
./tfcs/edinelco/s1/S1-4_49_inv.tfc,16,159,16,159,0,0,antigo-novo
./tfcs/edinelco/s1/S1-4_49_inv.tfc,16,159,16,159,0,0,novo-antigo
./tfcs/edinelco/s1/S1-4b15g_1.tfc,19,189,19,189,0,0,antigo
./tfcs/edinelco/s1/S1-4b15g_1.tfc,19,189,19,189,0,0,novo
./tfcs/edinelco/s1/S1-4b15g_1.tfc,19,189,19,189,0,0,antigo-novo
./tfcs/edinelco/s1/S1-4b15g_1.tfc,19,189,19,189,0,0,novo-antigo
./tfcs/edinelco/s1/S1-4b15g_1_inv.tfc,22,240,22,240,0,0,antigo
./tfcs/edinelco/s1/S1-4b15g_1_inv.tfc,22,240,22,240,0,0,novo
./tfcs/edinelco/s1/S1-4b15g_1_inv.tfc,22,240,22,240,0,0,antigo-novo
./tfcs/edinelco/s1/S1-4b15g_1_inv.tfc,22,240,22,240,0,0,novo-antigo
./tfcs/edinelco/s1/S1-4b15g_2.tfc,17,122,17,122,0,0,antigo
./tfcs/edinelco/s1/S1-4b15g_2.tfc,17,122,17,122,0,0,novo
./tfcs/edinelco/s1/S1-4b15g_2.tfc,17,122,17,122,0,0,antigo-novo
./tfcs/edinelco/s1/S1-4b15g_2.tfc,17,122,17,122,0,0,novo-antigo
./tfcs/edinelco/s1/S1-4b15g_2_inv.tfc,23,232,22,210,1,22,antigo
./tfcs/edinelco/s1/S1-4b15g_2_inv.tfc,23,232,25,238,-2,-6,novo
./tfcs/edinelco/s1/S1-4b15g_2_inv.tfc,23,232,26,210,-3,22,antigo-novo
./tfcs/edinelco/s1/S1-4b15g_2_inv.tfc,23,232,22,210,1,22,novo-antigo
