Nome TFC,Entrada GC,Entrada QC,Saida GC,Saida QC,Delta GC,Delta QC,Metodo
./tfcs/revlib/n_10-14/portas_0-1000/9symml_195.tfc,-,-,-,-,-,-,antigo
./tfcs/revlib/n_10-14/portas_0-1000/9symml_195.tfc,129,26241,172,57742,-43,-31501,novo
./tfcs/revlib/n_10-14/portas_0-1000/9symml_195.tfc,-,-,-,-,-,-,antigo-novo
./tfcs/revlib/n_10-14/portas_0-1000/9symml_195.tfc,-,-,-,-,-,-,novo-antigo
./tfcs/revlib/n_10-14/portas_0-1000/clip_206.tfc,174,26098,111,25633,63,465,antigo
./tfcs/revlib/n_10-14/portas_0-1000/clip_206.tfc,174,26098,183,32535,-9,-6437,novo
./tfcs/revlib/n_10-14/portas_0-1000/clip_206.tfc,174,26098,153,47981,21,-21883,antigo-novo
./tfcs/revlib/n_10-14/portas_0-1000/clip_206.tfc,174,26098,118,30860,56,-4762,novo-antigo
./tfcs/revlib/n_10-14/portas_0-1000/dc2_222.tfc,-,-,-,-,-,-,antigo
./tfcs/revlib/n_10-14/portas_0-1000/dc2_222.tfc,75,4391,72,4416,3,-25,novo
./tfcs/revlib/n_10-14/portas_0-1000/dc2_222.tfc,-,-,-,-,-,-,antigo-novo
./tfcs/revlib/n_10-14/portas_0-1000/dc2_222.tfc,-,-,-,-,-,-,novo-antigo
./tfcs/revlib/n_10-14/portas_0-1000/life_238.tfc,-,-,-,-,-,-,antigo
./tfcs/revlib/n_10-14/portas_0-1000/life_238.tfc,107,13315,127,37335,-20,-24020,novo
./tfcs/revlib/n_10-14/portas_0-1000/life_238.tfc,-,-,-,-,-,-,antigo-novo
./tfcs/revlib/n_10-14/portas_0-1000/life_238.tfc,-,-,-,-,-,-,novo-antigo
./tfcs/revlib/n_10-14/portas_0-1000/max46_240.tfc,-,-,-,-,-,-,antigo
./tfcs/revlib/n_10-14/portas_0-1000/max46_240.tfc,107,15319,108,28884,-1,-13565,novo
./tfcs/revlib/n_10-14/portas_0-1000/max46_240.tfc,-,-,-,-,-,-,antigo-novo
./tfcs/revlib/n_10-14/portas_0-1000/max46_240.tfc,-,-,-,-,-,-,novo-antigo
./tfcs/revlib/n_10-14/portas_0-1000/mini_alu_305.tfc,20,60,15,55,5,5,antigo
./tfcs/revlib/n_10-14/portas_0-1000/mini_alu_305.tfc,20,60,17,74,3,-14,novo
./tfcs/revlib/n_10-14/portas_0-1000/mini_alu_305.tfc,20,60,17,70,3,-10,antigo-novo
./tfcs/revlib/n_10-14/portas_0-1000/mini_alu_305.tfc,20,60,15,62,5,-2,novo-antigo
./tfcs/revlib/n_10-14/portas_0-1000/misex1_241.tfc,-,-,-,-,-,-,antigo
./tfcs/revlib/n_10-14/portas_0-1000/misex1_241.tfc,55,1343,55,1343,0,0,novo
./tfcs/revlib/n_10-14/portas_0-1000/misex1_241.tfc,-,-,-,-,-,-,antigo-novo
./tfcs/revlib/n_10-14/portas_0-1000/misex1_241.tfc,-,-,-,-,-,-,novo-antigo
./tfcs/revlib/n_10-14/portas_0-1000/radd_250.tfc,48,884,47,882,1,2,antigo
./tfcs/revlib/n_10-14/portas_0-1000/radd_250.tfc,48,884,52,2048,-4,-1164,novo
./tfcs/revlib/n_10-14/portas_0-1000/radd_250.tfc,48,884,55,3094,-7,-2210,antigo-novo
./tfcs/revlib/n_10-14/portas_0-1000/radd_250.tfc,48,884,47,1521,1,-637,novo-antigo
./tfcs/revlib/n_10-14/portas_0-1000/rd73_140.tfc,20,76,20,76,0,0,antigo
./tfcs/revlib/n_10-14/portas_0-1000/rd73_140.tfc,20,76,20,76,0,0,novo
./tfcs/revlib/n_10-14/portas_0-1000/rd73_140.tfc,20,76,20,76,0,0,antigo-novo
./tfcs/revlib/n_10-14/portas_0-1000/rd73_140.tfc,20,76,20,76,0,0,novo-antigo
./tfcs/revlib/n_10-14/portas_0-1000/rd73_252.tfc,80,1628,60,1526,20,102,antigo
./tfcs/revlib/n_10-14/portas_0-1000/rd73_252.tfc,80,1628,87,4087,-7,-2459,novo
./tfcs/revlib/n_10-14/portas_0-1000/rd73_252.tfc,80,1628,88,4495,-8,-2867,antigo-novo
./tfcs/revlib/n_10-14/portas_0-1000/rd73_252.tfc,-,-,-,-,-,-,novo-antigo
./tfcs/revlib/n_10-14/portas_0-1000/sqn_258.tfc,-,-,-,-,-,-,antigo
./tfcs/revlib/n_10-14/portas_0-1000/sqn_258.tfc,76,3168,79,4215,-3,-1047,novo
./tfcs/revlib/n_10-14/portas_0-1000/sqn_258.tfc,-,-,-,-,-,-,antigo-novo
./tfcs/revlib/n_10-14/portas_0-1000/sqn_258.tfc,76,3168,53,3767,23,-599,novo-antigo
