Nome TFC,Entrada GC,Entrada QC,Saida GC,Saida QC,Delta GC,Delta QC,Metodo
./tfcs/revlib/n_01-09/portas_1001-9999/hwb9_6563_16173.tfc,-,-,-,-,-,-,antigo
./tfcs/revlib/n_01-09/portas_1001-9999/hwb9_6563_16173.tfc,6563,17371,6455,18181,108,-810,novo
./tfcs/revlib/n_01-09/portas_1001-9999/hwb9_6563_16173.tfc,-,-,-,-,-,-,antigo-novo
./tfcs/revlib/n_01-09/portas_1001-9999/hwb9_6563_16173.tfc,-,-,-,-,-,-,novo-antigo
./tfcs/revlib/n_01-09/portas_1001-9999/nth_prime7_inc_1427_3172.tfc,1427,3235,1391,3247,36,-12,antigo
./tfcs/revlib/n_01-09/portas_1001-9999/nth_prime7_inc_1427_3172.tfc,1427,3235,1395,3446,32,-211,novo
./tfcs/revlib/n_01-09/portas_1001-9999/nth_prime7_inc_1427_3172.tfc,1427,3235,1390,3517,37,-282,antigo-novo
./tfcs/revlib/n_01-09/portas_1001-9999/nth_prime7_inc_1427_3172.tfc,1427,3235,1383,3414,44,-179,novo-antigo
./tfcs/revlib/n_01-09/portas_1001-9999/nth_prime8_inc_3346_7618.tfc,-,-,-,-,-,-,antigo
./tfcs/revlib/n_01-09/portas_1001-9999/nth_prime8_inc_3346_7618.tfc,3346,8006,3283,8637,63,-631,novo
./tfcs/revlib/n_01-09/portas_1001-9999/nth_prime8_inc_3346_7618.tfc,-,-,-,-,-,-,antigo-novo
./tfcs/revlib/n_01-09/portas_1001-9999/nth_prime8_inc_3346_7618.tfc,-,-,-,-,-,-,novo-antigo
./tfcs/revlib/n_01-09/portas_0-1000/3_17tc.tfc,6,14,4,14,2,0,antigo
./tfcs/revlib/n_01-09/portas_0-1000/3_17tc.tfc,6,14,4,14,2,0,novo
./tfcs/revlib/n_01-09/portas_0-1000/3_17tc.tfc,6,14,4,14,2,0,antigo-novo
./tfcs/revlib/n_01-09/portas_0-1000/3_17tc.tfc,6,14,4,14,2,0,novo-antigo
./tfcs/revlib/n_01-09/portas_0-1000/4_49-12-32.tfc,12,32,10,32,2,0,antigo
./tfcs/revlib/n_01-09/portas_0-1000/4_49-12-32.tfc,12,32,10,32,2,0,novo
./tfcs/revlib/n_01-09/portas_0-1000/4_49-12-32.tfc,12,32,10,32,2,0,antigo-novo
./tfcs/revlib/n_01-09/portas_0-1000/4_49-12-32.tfc,12,32,10,32,2,0,novo-antigo
./tfcs/revlib/n_01-09/portas_0-1000/4_49tc1.tfc,16,60,13,55,3,5,antigo
./tfcs/revlib/n_01-09/portas_0-1000/4_49tc1.tfc,16,60,13,55,3,5,novo
./tfcs/revlib/n_01-09/portas_0-1000/4_49tc1.tfc,16,60,13,55,3,5,antigo-novo
./tfcs/revlib/n_01-09/portas_0-1000/4_49tc1.tfc,16,60,13,55,3,5,novo-antigo
./tfcs/revlib/n_01-09/portas_0-1000/4b15g_2.tfc,15,63,15,65,0,-2,antigo
./tfcs/revlib/n_01-09/portas_0-1000/4b15g_2.tfc,15,63,15,63,0,0,novo
./tfcs/revlib/n_01-09/portas_0-1000/4b15g_2.tfc,15,63,14,68,1,-5,antigo-novo
./tfcs/revlib/n_01-09/portas_0-1000/4b15g_2.tfc,15,63,15,65,0,-2,novo-antigo
./tfcs/revlib/n_01-09/portas_0-1000/4b15g_4.tfc,15,47,14,48,1,-1,antigo
./tfcs/revlib/n_01-09/portas_0-1000/4b15g_4.tfc,15,47,15,47,0,0,novo
./tfcs/revlib/n_01-09/portas_0-1000/4b15g_4.tfc,15,47,14,48,1,-1,antigo-novo
./tfcs/revlib/n_01-09/portas_0-1000/4b15g_4.tfc,15,47,14,48,1,-1,novo-antigo
./tfcs/revlib/n_01-09/portas_0-1000/4b15g_5.tfc,15,43,15,43,0,0,antigo
./tfcs/revlib/n_01-09/portas_0-1000/4b15g_5.tfc,15,43,15,43,0,0,novo
./tfcs/revlib/n_01-09/portas_0-1000/4b15g_5.tfc,15,43,15,43,0,0,antigo-novo
./tfcs/revlib/n_01-09/portas_0-1000/4b15g_5.tfc,15,43,15,43,0,0,novo-antigo
./tfcs/revlib/n_01-09/portas_0-1000/decod24-bdd_294.tfc,11,27,8,24,3,3,antigo
./tfcs/revlib/n_01-09/portas_0-1000/decod24-bdd_294.tfc,11,27,8,24,3,3,novo
./tfcs/revlib/n_01-09/portas_0-1000/decod24-bdd_294.tfc,11,27,8,24,3,3,antigo-novo
./tfcs/revlib/n_01-09/portas_0-1000/decod24-bdd_294.tfc,11,27,8,24,3,3,novo-antigo
./tfcs/revlib/n_01-09/portas_0-1000/decod24-enable_125.tfc,9,21,9,21,0,0,antigo
./tfcs/revlib/n_01-09/portas_0-1000/decod24-enable_125.tfc,9,21,9,21,0,0,novo
./tfcs/revlib/n_01-09/portas_0-1000/decod24-enable_125.tfc,9,21,9,21,0,0,antigo-novo
./tfcs/revlib/n_01-09/portas_0-1000/decod24-enable_125.tfc,9,21,9,21,0,0,novo-antigo
./tfcs/revlib/n_01-09/portas_0-1000/decod24-enable_126.tfc,14,86,14,86,0,0,antigo
./tfcs/revlib/n_01-09/portas_0-1000/decod24-enable_126.tfc,14,86,15,107,-1,-21,novo
./tfcs/revlib/n_01-09/portas_0-1000/decod24-enable_126.tfc,14,86,15,107,-1,-21,antigo-novo
./tfcs/revlib/n_01-09/portas_0-1000/decod24-enable_126.tfc,14,86,14,86,0,0,novo-antigo
./tfcs/revlib/n_01-09/portas_0-1000/decod24-v0_38.tfc,6,18,6,18,0,0,antigo
./tfcs/revlib/n_01-09/portas_0-1000/decod24-v0_38.tfc,6,18,6,18,0,0,novo
./tfcs/revlib/n_01-09/portas_0-1000/decod24-v0_38.tfc,6,18,5,17,1,1,antigo-novo
./tfcs/revlib/n_01-09/portas_0-1000/decod24-v0_38.tfc,6,18,6,18,0,0,novo-antigo
./tfcs/revlib/n_01-09/portas_0-1000/decod24-v0_40.tfc,6,6,5,7,1,-1,antigo
./tfcs/revlib/n_01-09/portas_0-1000/decod24-v0_40.tfc,6,6,5,7,1,-1,novo
./tfcs/revlib/n_01-09/portas_0-1000/decod24-v0_40.tfc,6,6,5,7,1,-1,antigo-novo
./tfcs/revlib/n_01-09/portas_0-1000/decod24-v0_40.tfc,6,6,5,7,1,-1,novo-antigo
./tfcs/revlib/n_01-09/portas_0-1000/decod24-v1_41.tfc,6,22,6,24,0,-2,antigo
./tfcs/revlib/n_01-09/portas_0-1000/decod24-v1_41.tfc,6,22,6,22,0,0,novo
./tfcs/revlib/n_01-09/portas_0-1000/decod24-v1_41.tfc,6,22,6,24,0,-2,antigo-novo
./tfcs/revlib/n_01-09/portas_0-1000/decod24-v1_41.tfc,6,22,6,24,0,-2,novo-antigo
./tfcs/revlib/n_01-09/portas_0-1000/decod24-v1_42.tfc,6,6,6,8,0,-2,antigo
./tfcs/revlib/n_01-09/portas_0-1000/decod24-v1_42.tfc,6,6,6,6,0,0,novo
./tfcs/revlib/n_01-09/portas_0-1000/decod24-v1_42.tfc,6,6,6,8,0,-2,antigo-novo
./tfcs/revlib/n_01-09/portas_0-1000/decod24-v1_42.tfc,6,6,6,8,0,-2,novo-antigo
./tfcs/revlib/n_01-09/portas_0-1000/decod24-v2_43.tfc,6,18,6,18,0,0,antigo
./tfcs/revlib/n_01-09/portas_0-1000/decod24-v2_43.tfc,6,18,6,18,0,0,novo
./tfcs/revlib/n_01-09/portas_0-1000/decod24-v2_43.tfc,6,18,6,18,0,0,antigo-novo
./tfcs/revlib/n_01-09/portas_0-1000/decod24-v2_43.tfc,6,18,6,18,0,0,novo-antigo
./tfcs/revlib/n_01-09/portas_0-1000/decod24-v2_44.tfc,6,6,6,8,0,-2,antigo
./tfcs/revlib/n_01-09/portas_0-1000/decod24-v2_44.tfc,6,6,6,6,0,0,novo
./tfcs/revlib/n_01-09/portas_0-1000/decod24-v2_44.tfc,6,6,6,8,0,-2,antigo-novo
./tfcs/revlib/n_01-09/portas_0-1000/decod24-v2_44.tfc,6,6,6,8,0,-2,novo-antigo
./tfcs/revlib/n_01-09/portas_0-1000/decod24-v3_45.tfc,7,35,7,35,0,0,antigo
./tfcs/revlib/n_01-09/portas_0-1000/decod24-v3_45.tfc,7,35,7,37,0,-2,novo
./tfcs/revlib/n_01-09/portas_0-1000/decod24-v3_45.tfc,7,35,7,37,0,-2,antigo-novo
./tfcs/revlib/n_01-09/portas_0-1000/decod24-v3_45.tfc,7,35,7,37,0,-2,novo-antigo
