Nome TFC,Entrada GC,Entrada QC,Saida GC,Saida QC,Delta GC,Delta QC,Metodo
./tfcs/zakablukov/no-negative-control-lines/sorted/2of5d2-n7-gc18-qc36.tfc,18,42,11,38,7,4,antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/2of5d2-n7-gc18-qc36.tfc,18,42,16,56,2,-14,novo
./tfcs/zakablukov/no-negative-control-lines/sorted/2of5d2-n7-gc18-qc36.tfc,18,42,11,54,7,-12,antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/2of5d2-n7-gc18-qc36.tfc,18,42,11,54,7,-12,novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/2of5d2-n7-gc19-qc37.tfc,19,43,11,38,8,5,antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/2of5d2-n7-gc19-qc37.tfc,19,43,19,59,0,-16,novo
./tfcs/zakablukov/no-negative-control-lines/sorted/2of5d2-n7-gc19-qc37.tfc,19,43,11,54,8,-11,antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/2of5d2-n7-gc19-qc37.tfc,19,43,11,54,8,-11,novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/2of5d3-n6-gc30-qc138.tfc,30,138,11,121,19,17,antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/2of5d3-n6-gc30-qc138.tfc,30,138,30,138,0,0,novo
./tfcs/zakablukov/no-negative-control-lines/sorted/2of5d3-n6-gc30-qc138.tfc,30,138,17,367,13,-229,antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/2of5d3-n6-gc30-qc138.tfc,30,138,11,121,19,17,novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/2of5d3-n6-gc33-qc289.tfc,33,289,9,268,24,21,antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/2of5d3-n6-gc33-qc289.tfc,33,289,33,289,0,0,novo
./tfcs/zakablukov/no-negative-control-lines/sorted/2of5d3-n6-gc33-qc289.tfc,33,289,16,392,17,-103,antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/2of5d3-n6-gc33-qc289.tfc,33,289,9,268,24,21,novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/gf2^03mult-n7-gc123-qc756.tfc,123,843,69,811,54,32,antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/gf2^03mult-n7-gc123-qc756.tfc,123,843,119,907,4,-64,novo
./tfcs/zakablukov/no-negative-control-lines/sorted/gf2^03mult-n7-gc123-qc756.tfc,123,843,77,1097,46,-254,antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/gf2^03mult-n7-gc123-qc756.tfc,-,-,-,-,-,-,novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/gf2^03mult-n7-gc139-qc772.tfc,-,-,-,-,-,-,antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/gf2^03mult-n7-gc139-qc772.tfc,139,859,126,940,13,-81,novo
./tfcs/zakablukov/no-negative-control-lines/sorted/gf2^03mult-n7-gc139-qc772.tfc,-,-,-,-,-,-,antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/gf2^03mult-n7-gc139-qc772.tfc,139,859,64,878,75,-19,novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/gf2^03mult-n7-gc199-qc758.tfc,-,-,-,-,-,-,antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/gf2^03mult-n7-gc199-qc758.tfc,199,803,203,835,-4,-32,novo
./tfcs/zakablukov/no-negative-control-lines/sorted/gf2^03mult-n7-gc199-qc758.tfc,-,-,-,-,-,-,antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/gf2^03mult-n7-gc199-qc758.tfc,199,803,158,792,41,11,novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/gf2^04mult-n9-gc1377-qc48599.tfc,1377,51549,415,48323,962,3226,antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/gf2^04mult-n9-gc1377-qc48599.tfc,1377,51549,1364,51558,13,-9,novo
./tfcs/zakablukov/no-negative-control-lines/sorted/gf2^04mult-n9-gc1377-qc48599.tfc,1377,51549,432,57224,945,-5675,antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/gf2^04mult-n9-gc1377-qc48599.tfc,1377,51549,417,48341,960,3208,novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/gf2^04mult-n9-gc2098-qc6136.tfc,-,-,-,-,-,-,antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/gf2^04mult-n9-gc2098-qc6136.tfc,2098,6810,2118,7150,-20,-340,novo
./tfcs/zakablukov/no-negative-control-lines/sorted/gf2^04mult-n9-gc2098-qc6136.tfc,-,-,-,-,-,-,antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/gf2^04mult-n9-gc2098-qc6136.tfc,-,-,-,-,-,-,novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/mod_4mod5-n5-gc8-qc16.tfc,8,16,4,13,4,3,antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/mod_4mod5-n5-gc8-qc16.tfc,8,16,6,18,2,-2,novo
./tfcs/zakablukov/no-negative-control-lines/sorted/mod_4mod5-n5-gc8-qc16.tfc,8,16,4,30,4,-14,antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/mod_4mod5-n5-gc8-qc16.tfc,8,16,4,16,4,0,novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/mod_5mod5-n6-gc43-qc463.tfc,43,463,7,429,36,34,antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/mod_5mod5-n6-gc43-qc463.tfc,43,463,43,463,0,0,novo
./tfcs/zakablukov/no-negative-control-lines/sorted/mod_5mod5-n6-gc43-qc463.tfc,43,463,7,429,36,34,antigo-novo
./tfcs/zakablukov/no-negative-control-lines/sorted/mod_5mod5-n6-gc43-qc463.tfc,43,463,7,429,36,34,novo-antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/nth_prime11_inc-n12-gc11825-qc124468.tfc,11825,347737,11761,347433,64,304,antigo
./tfcs/zakablukov/no-negative-control-lines/sorted/nth_prime11_inc-n12-gc11825-qc124468.tfc,11825,347737,11821,347749,4,-12,novo
./tfcs/zakablukov/no-negative-control-lines/sorted/nth_prime11_inc-n12-gc11825-qc124468.tfc,11825,347737,11761,347689,64,48,antigo-novo
