Nome TFC,Entrada GC,Entrada QC,Saida GC,Saida QC,Delta GC,Delta QC,Metodo
./tfcs/zakablukov/with-negative-control-lines/sorted/2of5d2-n7-gc11-qc32.tfc,11,38,11,38,0,0,antigo
./tfcs/zakablukov/with-negative-control-lines/sorted/2of5d2-n7-gc11-qc32.tfc,11,38,11,54,0,-16,novo
./tfcs/zakablukov/with-negative-control-lines/sorted/2of5d2-n7-gc11-qc32.tfc,11,38,11,38,0,0,antigo-novo
./tfcs/zakablukov/with-negative-control-lines/sorted/2of5d2-n7-gc11-qc32.tfc,11,38,11,54,0,-16,novo-antigo
./tfcs/zakablukov/with-negative-control-lines/sorted/2of5d2-n7-gc12-qc31.tfc,12,37,11,38,1,-1,antigo
./tfcs/zakablukov/with-negative-control-lines/sorted/2of5d2-n7-gc12-qc31.tfc,12,37,11,54,1,-17,novo
./tfcs/zakablukov/with-negative-control-lines/sorted/2of5d2-n7-gc12-qc31.tfc,12,37,11,38,1,-1,antigo-novo
./tfcs/zakablukov/with-negative-control-lines/sorted/2of5d2-n7-gc12-qc31.tfc,12,37,11,54,1,-17,novo-antigo
./tfcs/zakablukov/with-negative-control-lines/sorted/2of5d3-n6-gc10-qc118.tfc,10,118,10,118,0,0,antigo
./tfcs/zakablukov/with-negative-control-lines/sorted/2of5d3-n6-gc10-qc118.tfc,10,118,11,259,-1,-141,novo
./tfcs/zakablukov/with-negative-control-lines/sorted/2of5d3-n6-gc10-qc118.tfc,10,118,11,267,-1,-149,antigo-novo
./tfcs/zakablukov/with-negative-control-lines/sorted/2of5d3-n6-gc10-qc118.tfc,10,118,10,214,0,-96,novo-antigo
./tfcs/zakablukov/with-negative-control-lines/sorted/2of5d3-n6-gc9-qc268.tfc,9,268,9,268,0,0,antigo
./tfcs/zakablukov/with-negative-control-lines/sorted/2of5d3-n6-gc9-qc268.tfc,9,268,16,392,-7,-124,novo
./tfcs/zakablukov/with-negative-control-lines/sorted/2of5d3-n6-gc9-qc268.tfc,9,268,16,392,-7,-124,antigo-novo
./tfcs/zakablukov/with-negative-control-lines/sorted/2of5d3-n6-gc9-qc268.tfc,9,268,16,392,-7,-124,novo-antigo
./tfcs/zakablukov/with-negative-control-lines/sorted/gf2^03mult-n7-gc145-qc704.tfc,145,749,145,749,0,0,antigo
./tfcs/zakablukov/with-negative-control-lines/sorted/gf2^03mult-n7-gc145-qc704.tfc,145,749,148,940,-3,-191,novo
./tfcs/zakablukov/with-negative-control-lines/sorted/gf2^03mult-n7-gc145-qc704.tfc,145,749,148,972,-3,-223,antigo-novo
./tfcs/zakablukov/with-negative-control-lines/sorted/gf2^03mult-n7-gc145-qc704.tfc,145,749,148,940,-3,-191,novo-antigo
./tfcs/zakablukov/with-negative-control-lines/sorted/gf2^03mult-n7-gc73-qc740.tfc,73,827,69,821,4,6,antigo
./tfcs/zakablukov/with-negative-control-lines/sorted/gf2^03mult-n7-gc73-qc740.tfc,73,827,75,901,-2,-74,novo
./tfcs/zakablukov/with-negative-control-lines/sorted/gf2^03mult-n7-gc73-qc740.tfc,73,827,79,1114,-6,-287,antigo-novo
./tfcs/zakablukov/with-negative-control-lines/sorted/gf2^03mult-n7-gc73-qc740.tfc,73,827,69,889,4,-62,novo-antigo
./tfcs/zakablukov/with-negative-control-lines/sorted/gf2^03mult-n7-gc79-qc712.tfc,79,799,63,815,16,-16,antigo
./tfcs/zakablukov/with-negative-control-lines/sorted/gf2^03mult-n7-gc79-qc712.tfc,79,799,67,1007,12,-208,novo
./tfcs/zakablukov/with-negative-control-lines/sorted/gf2^03mult-n7-gc79-qc712.tfc,79,799,67,1007,12,-208,antigo-novo
./tfcs/zakablukov/with-negative-control-lines/sorted/gf2^03mult-n7-gc79-qc712.tfc,79,799,65,1001,14,-202,novo-antigo
./tfcs/zakablukov/with-negative-control-lines/sorted/gf2^04mult-n9-gc1834-qc5914.tfc,-,-,-,-,-,-,antigo
./tfcs/zakablukov/with-negative-control-lines/sorted/gf2^04mult-n9-gc1834-qc5914.tfc,1834,6588,1842,6812,-8,-224,novo
./tfcs/zakablukov/with-negative-control-lines/sorted/gf2^04mult-n9-gc1834-qc5914.tfc,-,-,-,-,-,-,antigo-novo
./tfcs/zakablukov/with-negative-control-lines/sorted/gf2^04mult-n9-gc1834-qc5914.tfc,-,-,-,-,-,-,novo-antigo
./tfcs/zakablukov/with-negative-control-lines/sorted/gf2^04mult-n9-gc415-qc47649.tfc,415,50599,412,48304,3,2295,antigo
./tfcs/zakablukov/with-negative-control-lines/sorted/gf2^04mult-n9-gc415-qc47649.tfc,415,50599,433,57841,-18,-7242,novo
./tfcs/zakablukov/with-negative-control-lines/sorted/gf2^04mult-n9-gc415-qc47649.tfc,415,50599,435,58443,-20,-7844,antigo-novo
./tfcs/zakablukov/with-negative-control-lines/sorted/gf2^04mult-n9-gc415-qc47649.tfc,415,50599,425,54217,-10,-3618,novo-antigo
./tfcs/zakablukov/with-negative-control-lines/sorted/mod_4mod5-n5-gc4-qc13.tfc,4,13,4,13,0,0,antigo
./tfcs/zakablukov/with-negative-control-lines/sorted/mod_4mod5-n5-gc4-qc13.tfc,4,13,4,30,0,-17,novo
./tfcs/zakablukov/with-negative-control-lines/sorted/mod_4mod5-n5-gc4-qc13.tfc,4,13,4,30,0,-17,antigo-novo
./tfcs/zakablukov/with-negative-control-lines/sorted/mod_4mod5-n5-gc4-qc13.tfc,4,13,4,30,0,-17,novo-antigo
./tfcs/zakablukov/with-negative-control-lines/sorted/mod_5mod5-n6-gc7-qc429.tfc,7,429,7,429,0,0,antigo
./tfcs/zakablukov/with-negative-control-lines/sorted/mod_5mod5-n6-gc7-qc429.tfc,7,429,7,429,0,0,novo
./tfcs/zakablukov/with-negative-control-lines/sorted/mod_5mod5-n6-gc7-qc429.tfc,7,429,7,429,0,0,antigo-novo
./tfcs/zakablukov/with-negative-control-lines/sorted/mod_5mod5-n6-gc7-qc429.tfc,7,429,7,429,0,0,novo-antigo
./tfcs/zakablukov/with-negative-control-lines/sorted/nth_prime09_inc-n10-gc2234-qc22181.tfc,2234,37798,2233,37545,1,253,antigo
./tfcs/zakablukov/with-negative-control-lines/sorted/nth_prime09_inc-n10-gc2234-qc22181.tfc,2234,37798,2238,38906,-4,-1108,novo
./tfcs/zakablukov/with-negative-control-lines/sorted/nth_prime09_inc-n10-gc2234-qc22181.tfc,2234,37798,2238,38906,-4,-1108,antigo-novo
./tfcs/zakablukov/with-negative-control-lines/sorted/nth_prime09_inc-n10-gc2234-qc22181.tfc,2234,37798,2238,38906,-4,-1108,novo-antigo
./tfcs/zakablukov/with-negative-control-lines/sorted/nth_prime10_inc-n11-gc5207-qc50152.tfc,5207,114791,5203,113891,4,900,antigo
./tfcs/zakablukov/with-negative-control-lines/sorted/nth_prime10_inc-n11-gc5207-qc50152.tfc,5207,114791,5208,117372,-1,-2581,novo
./tfcs/zakablukov/with-negative-control-lines/sorted/nth_prime10_inc-n11-gc5207-qc50152.tfc,5207,114791,5206,117242,1,-2451,antigo-novo
./tfcs/zakablukov/with-negative-control-lines/sorted/nth_prime10_inc-n11-gc5207-qc50152.tfc,5207,114791,5207,116607,0,-1816,novo-antigo
